                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.238,                 4.1585,                 1.6831,                0.58525,                0.18901,                0.19285,                0.10677,                  1.535,                 3.1279,                 1.9076,             0.00011061,             0.00011061,             0.00011061
                      2,                 1.1261,                 3.2439,                 1.5417,                0.32125,                0.61296,                0.49108,                0.27227,                 1.6664,                 2.2046,                 1.9938,             0.00021283,             0.00021283,             0.00021283
                      3,                    1.1,                 2.7698,                 1.4938,                0.43198,                0.63174,                0.61626,                0.36967,                 1.4384,                  1.981,                 1.7984,             0.00030627,             0.00030627,             0.00030627
                      4,                 1.0643,                 2.4568,                 1.4561,                0.61162,                0.55402,                0.70803,                0.44535,                 1.3919,                 1.8715,                 1.8005,             0.00029344,             0.00029344,             0.00029344
                      5,                 1.0206,                 2.1769,                 1.4117,                0.56149,                0.78131,                 0.7628,                 0.5521,                 1.0901,                 1.3971,                 1.4862,             0.00029344,             0.00029344,             0.00029344
                      6,                0.99026,                 1.9561,                 1.3807,                0.62917,                0.76758,                0.83787,                0.52648,                   1.42,                 1.3974,                 1.8061,             0.00028025,             0.00028025,             0.00028025
                      7,                 0.9553,                 1.8094,                 1.3544,                0.67367,                0.76836,                0.84029,                0.63066,                 1.0063,                 1.1797,                 1.4134,             0.00026707,             0.00026707,             0.00026707
                      8,                0.92439,                 1.6635,                 1.3307,                 0.7061,                0.77634,                0.86098,                0.60002,                 1.1858,                 1.1188,                 1.5599,             0.00025388,             0.00025388,             0.00025388
                      9,                0.90807,                 1.5605,                 1.3257,                0.75584,                0.79244,                0.85552,                0.66827,                 0.9519,                 1.0349,                 1.3648,             0.00024069,             0.00024069,             0.00024069
                     10,                0.89338,                 1.4952,                 1.3065,                0.81884,                0.83835,                0.92354,                0.66456,                  1.106,                0.90919,                 1.4803,             0.00022751,             0.00022751,             0.00022751
                     11,                 0.8759,                 1.4112,                 1.3018,                0.86126,                0.86082,                0.93476,                0.75158,                0.85209,                0.79974,                 1.2617,             0.00021432,             0.00021432,             0.00021432
                     12,                0.86315,                 1.3265,                 1.2852,                  0.908,                0.83202,                0.92959,                0.70878,                  1.014,                0.83832,                 1.3816,             0.00020113,             0.00020113,             0.00020113
                     13,                0.85685,                  1.291,                 1.2791,                0.89324,                0.84441,                0.93271,                 0.7011,                 1.0282,                0.77349,                 1.4103,             0.00018795,             0.00018795,             0.00018795
                     14,                0.83818,                 1.2363,                 1.2669,                0.89856,                0.86021,                0.94684,                0.71249,                 1.0719,                0.76465,                 1.4281,             0.00017476,             0.00017476,             0.00017476
                     15,                0.82626,                 1.1893,                 1.2596,                0.84032,                0.86399,                0.93212,                0.78803,                0.73011,                0.76024,                 1.1889,             0.00016157,             0.00016157,             0.00016157
                     16,                0.69101,                0.75023,                 1.2678,                0.88505,                0.85564,                0.93959,                0.74813,                0.85568,                0.69679,                 1.2637,             0.00014838,             0.00014838,             0.00014838
                     17,                0.65679,                0.64808,                 1.2241,                0.88473,                0.88852,                0.93581,                 0.7356,                0.89962,                0.72427,                 1.2945,              0.0001352,              0.0001352,              0.0001352
                     18,                0.63268,                0.60776,                 1.2049,                0.93791,                0.85262,                 0.9461,                 0.7544,                0.84352,                0.68002,                 1.2658,             0.00012201,             0.00012201,             0.00012201
                     19,                0.62298,                0.56161,                 1.1943,                0.94621,                0.86121,                0.95204,                 0.7859,                0.76605,                0.62279,                 1.1862,             0.00010882,             0.00010882,             0.00010882
                     20,                0.60448,                0.54239,                 1.1829,                0.89302,                0.86779,                0.94778,                0.79966,                0.74737,                 0.6251,                 1.1801,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     21,                0.58351,                0.51196,                 1.1611,                0.86326,                0.88808,                0.95296,                0.82742,                0.65405,                0.62618,                 1.1113,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     22,                  0.568,                0.48817,                 1.1488,                0.88913,                0.86149,                0.93896,                0.80287,                0.70939,                0.60315,                 1.1434,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     23,                0.54937,                0.46661,                 1.1287,                0.93818,                0.85169,                0.95385,                0.80915,                0.71608,                0.57593,                 1.1552,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     24,                0.53302,                0.45137,                 1.1084,                0.92633,                0.89275,                0.95172,                0.80959,                0.72364,                0.56547,                  1.161,              4.289e-05,              4.289e-05,              4.289e-05
                     25,                0.53359,                0.44252,                 1.1202,                 0.9353,                0.85902,                0.94795,                0.80798,                0.70339,                0.56019,                 1.1448,             2.9704e-05,             2.9704e-05,             2.9704e-05
